Brand,Model,Release_Year,Category,Price_USD,Screen_Size_Inches,Processor_Type,RAM_GB,Storage_GB,OS,Battery_Capacity_mAh,Typical_Capacity_mAh,Rated_Capacity_mAh,Battery_Life_Hours,Standby_Time_Hours,Talk_Time_Hours,Video_Playback_Hours,Web_Browsing_Hours,Music_Playback_Hours,Gaming_Test_Hours,Usage_Scenario,Battery_Endurance_Rating,Battery_Type,Removable_Battery,Charging_Time_0_to_100,Charging_Time_0_to_50,Charging_Wattage,Charging_Technology,Fast_Charging_Supported,Fast_Charging_Tech,Wireless_Charging,Wireless_Charging_Wattage,Reverse_Wireless_Charging,Battery_Health_Percentage,Cycle_Count,Temperature_While_Charging_C,Discharge_Rate_mAh_per_hour,Idle_Discharge_Per_Hour,Thermal_Throttling_Effect,Battery_Saver_Mode_Available,Battery_Saver_Mode_Effect,Power_Consumption_Watt,Efficiency_Score,Refresh_Rate_Hz
Apple,Apple X6,2020,Budget,661.41,6.7,Apple A16 Bionic,16,64,iOS 15,6000,6061,5944,10.3,660,25,11.1,17.4,93,8.9,Idle,121h,Li-Po,Yes,57,47,18,SuperVOOC,Yes,SuperVOOC,No,10,No,90,427,40.2,278.1,13.5,No,No,0.11,7.87,0.0017,144
Oppo,Oppo A24,2022,Flagship,1236.47,6.7,Snapdragon 8 Gen 1,12,64,iOS 15,3000,3011,2988,16.1,660,25,15.6,11.0,92,8.9,Browsing,84h,Li-Po,Yes,70,49,10,Quick Charge 4.0,No,,Yes,10,Yes,89,94,42.7,354.5,8.9,Yes,Yes,0.25,3.72,0.0054,120
Oppo,Oppo S22,2024,Midrange,470.71,6.5,MediaTek Dimensity 9200,16,64,Android 11,3500,3536,3486,15.3,716,19,19.6,11.6,59,5.1,Gaming,114h,Li-Ion,Yes,60,34,18,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,20,No,98,57,37.1,317.4,12.1,Yes,No,0.22,7.51,0.0044,90
Samsung,Samsung Pro7,2022,Flagship,429.84,6.8,MediaTek Dimensity 9200,4,256,iOS 17,5000,5088,4901,6.5,462,21,14.3,7.8,52,9.9,Idle,117h,Li-Ion,No,115,34,10,Quick Charge 4.0,No,,No,15,No,92,508,41.1,388.9,19.6,No,Yes,0.34,4.25,0.0013,120
Asus,Asus Pro4,2018,Midrange,298.86,6.0,Snapdragon 8 Gen 1,6,256,Android 14,4500,4560,4465,14.9,436,40,8.7,10.0,78,9.2,Browsing,127h,Li-Po,Yes,92,54,33,Turbo Charge,Yes,Turbo Charge,No,20,No,97,438,38.8,441.9,18.8,No,No,0.3,2.88,0.0033,60
Motorola,Motorola Pro23,2020,Flagship,1272.61,6.7,Exynos 2100,4,128,Android 13,5000,5070,4940,7.5,636,17,19.2,12.3,79,3.6,Mixed,105h,Li-Po,Yes,72,43,65,Warp Charge,Yes,Warp Charge,Yes,5,No,95,332,34.2,564.6,19.0,No,Yes,0.22,2.61,0.0015,60
Google,Google Max23,2020,Midrange,1284.51,5.5,MediaTek Dimensity 9200,4,128,Android 13,4500,4506,4491,8.5,642,34,12.3,16.7,87,3.5,Gaming,91h,Li-Ion,No,42,52,120,Quick Charge 4.0,Yes,Quick Charge 4.0,No,15,No,91,381,39.7,559.9,17.0,Yes,Yes,0.12,4.81,0.0019,120
Motorola,Motorola X24,2020,Budget,189.74,6.8,Snapdragon 8 Gen 1,4,512,iOS 15,4000,4012,3940,16.8,563,22,13.2,16.8,64,4.2,Idle,95h,Li-Ion,No,63,50,120,Turbo Charge,Yes,Turbo Charge,Yes,20,No,98,465,39.6,241.1,18.3,No,Yes,0.3,5.73,0.0042,90
Google,Google S16,2021,Midrange,549.91,6.0,MediaTek Dimensity 9200,8,64,Android 11,4000,4098,3920,12.1,659,34,18.2,13.2,51,5.5,Video,106h,Li-Ion,No,56,35,65,VOOC,Yes,VOOC,Yes,0,No,93,223,41.3,594.6,13.3,Yes,No,0.12,6.97,0.003,90
Apple,Apple Note3,2020,Budget,535.1,6.8,Snapdragon 778G,6,128,Android 14,6000,6003,5913,13.0,561,39,10.8,10.6,89,7.5,Idle,121h,Li-Po,Yes,101,40,33,Turbo Charge,Yes,Turbo Charge,No,0,No,89,453,43.3,233.3,9.4,No,Yes,0.27,3.15,0.0022,90
Samsung,Samsung A15,2023,Flagship,1362.16,6.4,Exynos 2100,12,512,iOS 15,5000,5074,4966,16.1,470,21,18.5,11.9,88,7.9,Video,92h,Li-Ion,No,97,52,18,Quick Charge 4.0,Yes,Quick Charge 4.0,No,0,Yes,85,248,42.3,341.8,11.0,No,Yes,0.13,6.63,0.0032,120
Samsung,Samsung Max30,2018,Budget,610.18,6.1,Exynos 2100,8,512,iOS 17,4500,4523,4431,15.4,676,36,9.4,15.5,75,6.1,Idle,95h,Li-Ion,Yes,30,45,33,Warp Charge,Yes,Warp Charge,Yes,20,Yes,91,359,30.4,398.8,18.9,No,No,0.2,4.43,0.0034,144
Motorola,Motorola Note25,2020,Midrange,1375.66,6.8,Exynos 2100,8,128,iOS 15,5000,5090,4903,9.9,323,32,13.7,16.8,66,3.0,Mixed,115h,Li-Po,Yes,81,27,18,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,0,Yes,90,274,42.6,576.9,5.4,Yes,No,0.19,2.15,0.002,60
Asus,Asus A24,2018,Budget,697.87,5.5,Snapdragon 778G,4,256,Android 13,4500,4568,4466,15.5,719,25,12.8,13.3,78,4.2,Mixed,112h,Li-Ion,No,87,24,10,Warp Charge,No,,Yes,5,Yes,86,75,36.0,235.9,10.0,Yes,Yes,0.22,5.41,0.0034,60
Asus,Asus A29,2023,Budget,929.5,6.7,Exynos 2100,8,256,Android 12,6000,6004,5901,7.1,740,17,15.6,16.3,58,8.5,Gaming,119h,Li-Po,Yes,112,42,10,Warp Charge,No,,No,5,Yes,99,132,33.5,389.6,8.1,No,Yes,0.39,5.93,0.0012,90
Oppo,Oppo S5,2022,Flagship,797.16,6.5,Snapdragon 778G,8,512,iOS 16,4500,4544,4469,12.2,510,16,16.4,15.8,75,5.7,Video,125h,Li-Po,No,60,29,33,Fast Charge,Yes,Fast Charge,Yes,5,No,97,130,32.1,400.2,9.9,Yes,Yes,0.33,5.46,0.0027,90
Oppo,Oppo A4,2019,Midrange,153.53,6.5,Snapdragon 8 Gen 1,6,64,Android 13,4000,4066,3904,12.8,525,38,12.6,8.8,77,9.3,Mixed,98h,Li-Po,No,47,21,10,Warp Charge,No,,No,15,No,94,350,43.6,407.0,13.7,No,No,0.17,6.05,0.0032,144
Oppo,Oppo Max15,2018,Budget,628.37,5.5,Exynos 2100,12,256,Android 13,5000,5017,4946,6.2,737,39,19.2,15.0,58,5.6,Video,111h,Li-Ion,Yes,46,48,33,VOOC,Yes,VOOC,Yes,5,No,87,459,31.9,287.1,17.8,Yes,Yes,0.13,6.77,0.0012,144
OnePlus,OnePlus S29,2021,Budget,646.06,6.7,Exynos 2100,4,512,iOS 16,4000,4071,3974,12.2,394,25,9.1,12.9,84,8.0,Video,89h,Li-Ion,Yes,74,17,10,Fast Charge,No,,Yes,10,No,86,592,31.2,272.0,11.5,No,Yes,0.31,5.35,0.003,90
Motorola,Motorola X26,2024,Midrange,1030.78,6.1,Snapdragon 8 Gen 1,16,128,Android 14,5000,5032,4937,6.8,669,15,15.8,7.2,91,9.1,Mixed,105h,Li-Ion,No,116,36,65,Fast Charge,Yes,Fast Charge,Yes,15,Yes,95,168,43.7,346.4,9.6,No,Yes,0.19,2.39,0.0014,120
Apple,Apple Max2,2022,Midrange,1012.19,6.5,Apple A16 Bionic,6,64,iOS 17,5000,5005,4993,13.4,446,15,14.0,16.5,64,8.5,Idle,130h,Li-Po,No,54,24,120,Quick Charge 4.0,Yes,Quick Charge 4.0,No,15,Yes,92,315,42.8,309.9,6.3,No,No,0.15,4.69,0.0027,120
Samsung,Samsung S29,2023,Flagship,1223.33,5.5,Snapdragon 8 Gen 1,4,512,Android 14,3000,3034,2978,15.4,690,24,14.2,16.4,77,5.8,Video,109h,Li-Ion,No,65,53,45,Warp Charge,Yes,Warp Charge,No,0,No,88,52,38.3,276.0,19.6,No,Yes,0.16,2.34,0.0051,120
Vivo,Vivo A17,2022,Flagship,357.25,6.4,Snapdragon 8 Gen 1,12,512,Android 11,6000,6016,5950,17.7,406,38,13.5,17.3,54,9.6,Video,90h,Li-Ion,Yes,88,36,18,Warp Charge,Yes,Warp Charge,No,5,Yes,93,166,37.2,332.9,10.2,No,No,0.36,4.05,0.0029,120
Samsung,Samsung S7,2024,Budget,559.02,5.5,Apple A16 Bionic,6,128,iOS 15,5000,5082,4997,16.2,427,22,11.8,17.9,65,7.9,Browsing,94h,Li-Ion,No,73,60,33,Fast Charge,Yes,Fast Charge,Yes,20,No,94,55,38.3,384.3,6.7,Yes,Yes,0.23,6.63,0.0032,60
Xiaomi,Xiaomi Max7,2020,Flagship,793.29,6.8,Exynos 2100,4,64,Android 14,4000,4024,3908,6.9,563,19,10.5,8.3,85,4.2,Mixed,95h,Li-Ion,No,85,45,45,Warp Charge,Yes,Warp Charge,Yes,10,Yes,88,411,34.1,218.2,16.5,Yes,No,0.3,7.86,0.0017,120
Realme,Realme Max7,2022,Midrange,854.51,6.4,Snapdragon 8 Gen 1,8,256,Android 13,4500,4570,4429,17.2,631,15,17.5,7.9,72,7.7,Video,129h,Li-Po,Yes,70,24,45,Turbo Charge,Yes,Turbo Charge,Yes,0,Yes,85,542,32.3,529.9,6.8,No,No,0.21,3.87,0.0038,144
Realme,Realme X29,2021,Flagship,1194.64,6.5,Apple A16 Bionic,8,512,Android 13,3000,3002,2925,8.6,364,36,12.5,10.0,89,4.3,Mixed,92h,Li-Po,No,74,54,120,VOOC,Yes,VOOC,Yes,15,Yes,99,127,34.4,221.6,19.2,No,No,0.33,5.26,0.0029,144
Samsung,Samsung Pro6,2021,Midrange,630.08,6.7,Exynos 2100,12,128,iOS 15,5000,5024,4904,7.3,764,26,15.9,7.6,78,5.2,Browsing,119h,Li-Po,Yes,119,24,45,Quick Charge 4.0,Yes,Quick Charge 4.0,No,0,Yes,95,44,34.5,298.4,17.5,No,No,0.11,3.13,0.0015,60
Motorola,Motorola S5,2022,Budget,1286.73,6.1,MediaTek Dimensity 9200,8,512,iOS 16,4000,4027,3932,5.2,764,31,16.8,15.5,97,4.1,Gaming,106h,Li-Ion,No,115,19,33,Fast Charge,Yes,Fast Charge,No,10,Yes,94,137,36.8,311.7,16.6,No,Yes,0.14,6.69,0.0013,120
Samsung,Samsung A10,2022,Budget,609.02,6.7,Apple A16 Bionic,16,512,Android 13,3000,3067,2918,17.7,705,25,19.5,16.9,54,9.4,Video,127h,Li-Po,Yes,43,18,65,Turbo Charge,Yes,Turbo Charge,Yes,5,Yes,99,299,33.3,396.4,16.7,Yes,Yes,0.15,3.25,0.0059,144
Apple,Apple Note19,2023,Budget,1454.51,6.1,Apple A15 Bionic,6,512,iOS 17,5000,5080,4987,16.0,494,24,16.0,16.4,83,7.2,Mixed,111h,Li-Po,Yes,78,35,45,VOOC,Yes,VOOC,No,5,No,93,490,44.7,483.5,8.7,No,Yes,0.3,2.32,0.0032,144
OnePlus,OnePlus A18,2022,Midrange,1290.3,6.0,Exynos 2100,16,128,Android 12,4500,4585,4414,15.5,333,36,15.1,10.1,79,5.9,Video,95h,Li-Po,No,118,20,65,Turbo Charge,Yes,Turbo Charge,Yes,10,Yes,92,185,41.4,447.1,12.4,Yes,No,0.35,7.46,0.0034,144
Samsung,Samsung Max15,2024,Midrange,989.61,6.8,MediaTek Dimensity 9200,12,64,iOS 17,5000,5019,4930,13.1,796,25,8.5,10.1,56,9.0,Browsing,85h,Li-Po,No,60,37,65,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,10,Yes,100,449,30.8,549.7,8.4,No,Yes,0.38,5.56,0.0026,144
Oppo,Oppo X4,2018,Budget,1474.81,6.4,MediaTek Dimensity 9200,6,256,iOS 15,4500,4588,4435,10.7,314,16,11.7,12.3,63,8.6,Video,94h,Li-Ion,Yes,115,48,33,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,20,No,89,563,33.7,289.8,7.6,No,No,0.21,2.04,0.0024,120
Oppo,Oppo Note19,2020,Midrange,1343.53,6.4,Snapdragon 8 Gen 1,4,512,iOS 17,4500,4542,4425,15.1,683,23,17.3,16.3,81,8.6,Video,113h,Li-Po,Yes,93,49,25,Turbo Charge,Yes,Turbo Charge,Yes,15,No,96,114,34.9,209.2,14.3,Yes,Yes,0.2,5.58,0.0034,60
Apple,Apple S4,2024,Midrange,1104.76,6.5,MediaTek Dimensity 9200,8,64,Android 11,4500,4561,4477,9.5,613,20,10.6,17.5,50,9.9,Gaming,124h,Li-Po,No,50,54,10,SuperVOOC,No,,Yes,10,Yes,87,179,34.1,270.8,14.2,No,Yes,0.28,7.14,0.0021,60
Google,Google A8,2023,Budget,895.61,6.0,Tensor G2,6,512,iOS 15,4500,4533,4457,13.2,309,23,14.4,7.2,80,4.7,Idle,101h,Li-Po,No,109,38,25,SuperVOOC,Yes,SuperVOOC,No,0,No,90,554,43.3,486.1,19.8,Yes,Yes,0.15,2.25,0.0029,120
Asus,Asus X30,2021,Budget,331.48,6.5,Exynos 2100,8,64,Android 11,4000,4006,3974,6.3,435,32,15.4,12.7,95,5.6,Mixed,130h,Li-Ion,No,38,46,65,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,15,No,91,284,42.1,293.1,19.8,Yes,No,0.38,7.42,0.0016,120
Apple,Apple Pro16,2019,Midrange,184.34,6.0,Tensor G2,4,512,Android 11,5000,5038,4984,13.3,567,15,12.9,15.3,79,7.7,Video,97h,Li-Po,No,81,30,65,Turbo Charge,Yes,Turbo Charge,Yes,0,No,87,74,35.9,325.3,13.6,Yes,No,0.16,3.96,0.0027,90
Google,Google S24,2020,Budget,283.13,6.7,Snapdragon 8 Gen 1,16,64,Android 14,3500,3570,3480,13.3,697,16,9.0,15.1,52,7.5,Browsing,129h,Li-Po,Yes,60,40,45,VOOC,Yes,VOOC,Yes,5,Yes,88,69,36.5,398.7,7.0,Yes,Yes,0.16,2.73,0.0038,90
OnePlus,OnePlus Max15,2021,Budget,692.44,6.4,Apple A15 Bionic,12,64,Android 14,4500,4518,4465,7.6,542,17,15.9,16.1,80,3.2,Idle,105h,Li-Po,No,105,53,45,Fast Charge,Yes,Fast Charge,Yes,10,Yes,89,567,30.3,583.7,19.0,No,Yes,0.27,7.65,0.0017,60
Oppo,Oppo A3,2023,Budget,721.32,6.8,Snapdragon 778G,6,256,Android 14,5000,5080,4952,17.4,302,30,16.8,11.0,72,4.3,Video,82h,Li-Po,No,108,26,25,Warp Charge,Yes,Warp Charge,No,5,No,91,85,41.0,490.9,8.0,Yes,Yes,0.19,5.31,0.0035,90
Vivo,Vivo Max3,2022,Flagship,521.82,6.4,Tensor G2,4,512,Android 13,4000,4089,4000,10.3,662,37,13.0,8.1,78,5.8,Browsing,126h,Li-Ion,No,31,23,120,Fast Charge,Yes,Fast Charge,No,15,Yes,96,360,42.5,442.4,17.6,No,No,0.22,4.73,0.0026,90
Realme,Realme X27,2019,Budget,489.13,6.4,Snapdragon 778G,16,64,Android 12,4500,4560,4490,9.6,419,36,13.1,16.1,57,8.1,Video,120h,Li-Po,No,113,24,18,Warp Charge,Yes,Warp Charge,No,20,No,98,160,39.3,302.3,18.4,No,No,0.24,2.15,0.0021,90
Xiaomi,Xiaomi X15,2024,Budget,1463.38,5.5,Apple A15 Bionic,6,512,iOS 15,4500,4559,4481,5.2,306,25,19.8,17.7,85,4.8,Mixed,86h,Li-Po,Yes,65,18,33,Turbo Charge,Yes,Turbo Charge,Yes,15,Yes,94,46,42.9,222.1,12.7,No,No,0.15,7.89,0.0012,60
Apple,Apple Note27,2018,Flagship,877.7,6.0,Tensor G2,8,128,Android 12,5000,5007,4954,13.5,499,21,19.8,15.3,61,6.3,Video,99h,Li-Ion,Yes,108,55,45,Fast Charge,Yes,Fast Charge,Yes,15,No,89,318,43.1,470.2,8.7,No,No,0.22,4.72,0.0027,144
Google,Google A18,2023,Budget,910.22,6.5,Apple A16 Bionic,16,64,iOS 15,3500,3552,3446,7.8,652,27,10.7,9.0,64,9.7,Mixed,124h,Li-Po,Yes,54,20,10,Fast Charge,No,,No,5,Yes,86,537,41.5,321.5,14.6,Yes,Yes,0.24,5.76,0.0022,120
Vivo,Vivo X11,2020,Flagship,165.51,5.5,Exynos 2100,4,64,iOS 15,4000,4056,3907,6.8,588,16,8.3,17.4,60,9.5,Video,106h,Li-Po,Yes,46,30,33,Warp Charge,Yes,Warp Charge,No,20,Yes,97,91,35.9,505.2,5.7,Yes,No,0.33,3.93,0.0017,144
Motorola,Motorola Max1,2024,Flagship,406.15,6.7,Exynos 2100,4,256,iOS 15,3500,3546,3490,9.8,526,30,15.6,12.9,95,7.1,Browsing,87h,Li-Ion,No,63,40,18,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,5,No,85,289,38.3,219.2,11.8,Yes,No,0.3,3.7,0.0028,120
Motorola,Motorola Note29,2023,Midrange,430.77,6.5,Apple A15 Bionic,16,256,iOS 15,4500,4523,4410,16.2,460,20,11.2,8.4,91,7.1,Video,114h,Li-Po,Yes,68,51,120,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,10,Yes,92,565,37.4,583.5,19.3,No,Yes,0.38,2.7,0.0036,120
Oppo,Oppo Pro6,2018,Flagship,1029.31,6.4,Tensor G2,8,128,Android 13,3000,3011,2928,8.1,686,18,8.3,16.7,57,7.3,Browsing,103h,Li-Po,Yes,35,45,33,Quick Charge 4.0,Yes,Quick Charge 4.0,No,15,No,96,470,36.7,465.6,6.2,Yes,No,0.38,5.62,0.0027,60
Xiaomi,Xiaomi Max10,2021,Midrange,763.35,6.7,Apple A16 Bionic,8,512,iOS 17,3500,3581,3406,13.6,391,38,8.4,7.1,78,9.4,Video,129h,Li-Ion,Yes,67,15,120,Quick Charge 4.0,Yes,Quick Charge 4.0,No,15,No,85,583,30.1,401.8,15.5,Yes,No,0.12,2.21,0.0039,120
Vivo,Vivo Pro12,2022,Budget,651.45,6.8,Snapdragon 8 Gen 1,4,128,Android 12,5000,5061,4904,6.5,422,40,11.1,9.9,61,9.3,Mixed,127h,Li-Ion,No,42,19,65,Quick Charge 4.0,Yes,Quick Charge 4.0,No,0,No,89,568,36.5,524.1,8.0,No,No,0.11,3.21,0.0013,90
Realme,Realme X5,2024,Flagship,1443.05,6.4,Apple A15 Bionic,12,256,Android 13,6000,6033,5969,9.2,321,34,10.9,11.8,69,3.9,Video,115h,Li-Po,No,86,59,65,Warp Charge,Yes,Warp Charge,No,0,No,88,204,44.4,523.6,10.5,Yes,Yes,0.21,2.95,0.0015,90
Apple,Apple A8,2023,Midrange,1100.0,5.5,Apple A15 Bionic,16,64,iOS 16,3000,3091,2986,7.7,339,32,17.6,14.5,71,7.7,Browsing,86h,Li-Po,Yes,95,36,65,Turbo Charge,Yes,Turbo Charge,No,5,Yes,96,434,37.7,535.1,8.3,No,No,0.14,4.76,0.0026,144
Google,Google Pro21,2024,Flagship,945.44,6.1,Apple A15 Bionic,16,64,Android 11,5000,5050,4963,12.0,718,28,15.2,7.6,88,7.2,Gaming,127h,Li-Ion,No,75,27,120,Quick Charge 4.0,Yes,Quick Charge 4.0,No,20,Yes,97,310,34.3,478.9,19.7,Yes,Yes,0.27,7.48,0.0024,144
Asus,Asus A7,2019,Flagship,1192.04,6.1,Snapdragon 778G,6,64,Android 14,4500,4555,4452,6.3,327,33,18.4,14.2,81,7.7,Mixed,118h,Li-Ion,Yes,65,42,65,Turbo Charge,Yes,Turbo Charge,Yes,15,No,88,106,33.1,375.8,12.0,No,Yes,0.32,7.54,0.0014,144
OnePlus,OnePlus Note28,2023,Midrange,408.34,6.0,Tensor G2,12,64,Android 13,4500,4512,4421,17.8,593,37,11.1,8.9,64,5.4,Gaming,85h,Li-Ion,No,63,25,33,Warp Charge,Yes,Warp Charge,Yes,5,Yes,99,69,41.5,574.6,5.3,No,Yes,0.18,2.14,0.004,90
Apple,Apple S2,2018,Midrange,490.76,5.5,MediaTek Dimensity 9200,12,128,Android 14,3000,3079,2904,14.9,466,16,8.6,17.5,63,7.2,Mixed,88h,Li-Po,No,46,43,18,Warp Charge,Yes,Warp Charge,No,15,No,91,259,34.3,225.9,5.1,Yes,No,0.11,7.94,0.005,90
Asus,Asus Pro8,2018,Flagship,250.2,6.5,MediaTek Dimensity 9200,16,128,Android 11,3000,3029,2915,17.0,320,38,10.3,7.3,99,5.2,Gaming,95h,Li-Po,Yes,76,32,25,Quick Charge 4.0,Yes,Quick Charge 4.0,No,20,Yes,88,175,30.9,387.1,16.2,Yes,No,0.31,3.54,0.0057,120
Samsung,Samsung Pro5,2023,Flagship,1492.25,6.7,Snapdragon 778G,4,256,iOS 17,3000,3024,2924,8.5,683,23,19.0,10.7,70,8.3,Video,122h,Li-Po,No,114,51,45,VOOC,Yes,VOOC,Yes,15,Yes,86,582,31.5,477.8,6.9,No,No,0.16,4.25,0.0028,144
Apple,Apple S16,2024,Budget,141.35,6.5,Exynos 2100,4,128,Android 12,4000,4036,3924,9.9,642,36,19.2,10.6,68,8.0,Browsing,106h,Li-Po,Yes,111,22,33,Turbo Charge,Yes,Turbo Charge,No,20,No,96,381,34.8,296.0,6.7,Yes,Yes,0.21,2.42,0.0025,90
Google,Google A10,2022,Midrange,842.14,6.4,Apple A15 Bionic,6,128,Android 13,6000,6087,5930,11.3,640,35,14.1,11.3,51,6.3,Video,110h,Li-Po,No,86,48,45,Fast Charge,Yes,Fast Charge,No,5,Yes,100,166,32.8,339.0,17.6,No,Yes,0.31,2.83,0.0019,144
Asus,Asus Max6,2020,Flagship,912.46,6.5,Snapdragon 8 Gen 1,16,512,Android 13,4000,4028,3915,17.9,768,40,11.6,11.4,70,7.3,Idle,84h,Li-Ion,No,45,44,25,Warp Charge,Yes,Warp Charge,No,0,Yes,98,580,32.1,353.3,6.8,No,Yes,0.32,4.53,0.0045,144
Asus,Asus Pro27,2020,Midrange,435.54,6.1,Exynos 2100,6,64,iOS 15,6000,6044,5922,14.4,524,29,15.1,7.4,100,9.1,Gaming,114h,Li-Po,Yes,72,20,33,Fast Charge,Yes,Fast Charge,Yes,0,Yes,96,209,33.9,418.1,6.7,No,No,0.39,7.71,0.0024,90
Realme,Realme Note12,2024,Flagship,1324.3,6.0,MediaTek Dimensity 9200,4,512,Android 12,5000,5092,4928,11.5,371,28,15.6,8.2,91,8.1,Video,116h,Li-Po,No,80,20,45,VOOC,Yes,VOOC,Yes,5,Yes,89,123,34.7,297.5,15.4,No,No,0.3,2.18,0.0023,120
Asus,Asus Pro22,2020,Budget,236.43,6.0,Tensor G2,16,256,Android 13,3000,3056,2987,6.2,568,38,9.4,14.9,81,9.9,Gaming,97h,Li-Po,Yes,107,37,10,Fast Charge,No,,Yes,5,No,89,448,31.5,523.6,16.4,Yes,Yes,0.37,2.19,0.0021,120
Motorola,Motorola A23,2024,Budget,221.05,6.8,Snapdragon 8 Gen 1,8,128,iOS 16,3500,3553,3412,9.1,499,15,18.3,12.9,76,9.9,Mixed,80h,Li-Po,Yes,57,47,33,VOOC,Yes,VOOC,No,15,Yes,86,547,34.9,490.3,7.4,No,No,0.23,3.37,0.0026,60
Google,Google X29,2021,Budget,514.24,6.1,Apple A16 Bionic,12,512,Android 13,3500,3591,3493,12.0,726,17,8.1,12.5,50,7.6,Mixed,120h,Li-Po,Yes,118,56,120,Turbo Charge,Yes,Turbo Charge,No,10,No,100,231,32.9,498.1,12.4,No,Yes,0.33,7.22,0.0034,60
Asus,Asus A24,2020,Flagship,685.96,5.5,Exynos 2100,8,256,Android 11,4500,4549,4418,10.6,752,15,12.8,12.6,83,8.0,Browsing,80h,Li-Ion,No,30,40,33,SuperVOOC,Yes,SuperVOOC,Yes,10,No,99,466,33.2,366.8,13.4,No,Yes,0.31,2.25,0.0024,144
OnePlus,OnePlus Pro1,2020,Budget,108.26,6.1,Apple A15 Bionic,12,512,iOS 17,3500,3556,3452,13.0,586,29,13.3,14.7,56,8.2,Video,118h,Li-Ion,No,90,25,120,Fast Charge,Yes,Fast Charge,No,0,Yes,89,137,30.3,590.4,16.3,No,Yes,0.22,2.37,0.0037,60
Apple,Apple X1,2023,Flagship,1162.62,6.8,Tensor G2,4,512,iOS 17,4500,4553,4482,8.8,478,26,9.6,10.0,71,5.4,Browsing,91h,Li-Po,Yes,112,51,45,Quick Charge 4.0,Yes,Quick Charge 4.0,Yes,5,Yes,98,133,35.0,334.1,18.0,No,No,0.29,2.69,0.002,144
Apple,Apple Max3,2024,Midrange,1358.34,6.7,Exynos 2100,12,128,Android 12,6000,6070,5970,10.6,467,15,19.1,16.4,74,7.9,Mixed,102h,Li-Po,No,38,26,18,Turbo Charge,Yes,Turbo Charge,Yes,0,Yes,95,595,44.9,200.6,18.1,No,No,0.1,2.52,0.0018,144
OnePlus,OnePlus X7,2021,Flagship,902.37,6.8,Apple A15 Bionic,6,64,iOS 15,4500,4579,4439,10.8,435,18,9.2,10.2,99,8.7,Idle,106h,Li-Ion,Yes,42,57,18,Turbo Charge,Yes,Turbo Charge,No,5,No,85,345,33.5,315.7,11.4,No,No,0.2,6.44,0.0024,120
Vivo,Vivo S10,2023,Flagship,1124.32,6.8,Snapdragon 8 Gen 1,12,128,Android 14,6000,6049,5944,13.4,752,24,20.0,8.8,56,4.1,Browsing,88h,Li-Po,No,76,17,18,Warp Charge,Yes,Warp Charge,No,20,Yes,94,29,30.8,356.9,18.6,No,Yes,0.11,3.36,0.0022,60
Apple,Apple Max22,2024,Flagship,818.2,6.8,Tensor G2,4,512,Android 14,6000,6098,5990,13.6,729,20,19.7,8.9,99,6.0,Video,103h,Li-Ion,No,93,31,120,Fast Charge,Yes,Fast Charge,No,20,Yes,87,416,44.1,222.2,9.8,No,Yes,0.17,3.34,0.0023,120
OnePlus,OnePlus A22,2022,Flagship,1302.85,6.0,Apple A16 Bionic,6,512,iOS 16,4000,4028,3946,17.8,790,28,18.6,10.9,62,4.1,Mixed,101h,Li-Ion,Yes,52,48,33,Turbo Charge,Yes,Turbo Charge,No,5,Yes,87,19,31.9,437.6,14.4,Yes,No,0.2,7.64,0.0044,90
Motorola,Motorola S19,2019,Budget,878.09,6.5,Apple A15 Bionic,12,64,iOS 17,6000,6066,5949,5.9,603,37,9.9,15.4,51,5.3,Mixed,120h,Li-Ion,Yes,58,29,120,SuperVOOC,Yes,SuperVOOC,No,5,Yes,92,523,30.6,460.2,12.7,Yes,No,0.19,7.0,0.001,90
Vivo,Vivo Pro5,2019,Flagship,950.97,6.7,Apple A16 Bionic,6,256,Android 12,6000,6035,5979,15.4,306,36,8.4,16.1,72,6.1,Mixed,87h,Li-Po,Yes,78,17,25,Warp Charge,Yes,Warp Charge,Yes,5,No,91,92,33.7,435.5,5.8,No,Yes,0.39,3.67,0.0026,90
Xiaomi,Xiaomi Pro30,2020,Budget,417.35,6.5,Snapdragon 778G,6,64,iOS 16,3500,3599,3447,8.5,342,19,9.8,17.7,67,4.0,Video,82h,Li-Po,Yes,60,51,10,Quick Charge 4.0,No,,Yes,20,Yes,85,518,40.0,292.1,16.0,No,No,0.19,3.67,0.0024,120
Vivo,Vivo Note26,2019,Midrange,1206.48,6.8,Apple A15 Bionic,8,128,iOS 16,3500,3522,3451,6.0,667,36,12.4,15.9,63,6.0,Mixed,89h,Li-Ion,Yes,82,53,10,Turbo Charge,No,,Yes,0,Yes,90,109,36.5,273.2,13.5,No,No,0.18,5.9,0.0017,90
